Points_0,Points_1,Points_2
0.542441,0.317773,-0.252475
0.506894,0.305752,-0.260083
0.679622,0.352055,-0.203898
0.669902,0.342978,-0.245942
0.56267,0.389343,-0.267956
0.554908,0.473599,-0.22667
0.501354,0.298584,-0.18463
0.515759,0.306946,-0.137357
0.530822,0.366055,-0.14039
0.513366,0.470262,-0.153301
0.49766,0.447737,-0.191819
0.499934,0.354356,-0.195514
0.621007,0.337927,-0.253529
0.590671,0.403224,-0.247304
0.584842,0.327179,-0.266797
0.565694,0.32059,-0.263178
0.630145,0.424405,-0.164608
0.662034,0.348087,-0.173482
0.566722,0.379001,-0.12382
0.605588,0.411626,-0.138424
0.578557,0.478761,-0.13793
0.559589,0.482464,-0.14058
0.617494,0.476804,-0.169007
-1.45733,0.92242,-0.158896
-1.50272,0.889892,-0.234707
-1.4366,1.00095,-0.264016
-1.53849,0.840323,-0.271338
-1.47095,0.99153,-0.306449
-1.57932,0.849003,-0.306096
-1.51393,0.99782,-0.320921
-1.62629,0.856765,-0.316905
-1.55469,1.01989,-0.326065
-1.67704,0.871131,-0.308
-1.60234,1.0447,-0.309367
-1.79073,0.903698,-0.226568
-1.79426,0.902967,-0.164577
-1.74521,1.02465,-0.125076
-1.72259,1.0777,-0.147879
-1.71548,1.07799,-0.219035
-1.73584,1.02503,-0.219947
-1.64613,0.552831,-0.295032
-1.65289,0.675028,-0.290258
-1.60468,0.68339,-0.284743
-1.64922,0.749582,-0.303138
-1.59565,0.749763,-0.297275
-1.66595,0.752593,-0.300745
-1.68539,0.54945,-0.2797
-1.69873,0.663615,-0.270112
-1.71888,0.764706,-0.271633
-1.73231,0.88105,-0.258536
-1.7276,0.545227,-0.249539
-1.74615,0.663364,-0.247397
-1.77374,0.764005,-0.239295
-1.6092,0.553889,-0.289927
-1.5778,0.678757,-0.262354
-1.56114,0.754916,-0.26172
-1.52709,0.819772,-0.215558
-1.56621,0.735176,-0.206843
-1.588,0.6609,-0.218295
-1.59505,0.572888,-0.225542
-1.58457,0.56788,-0.260093
-1.55873,0.807465,-0.170794
-1.59231,0.729217,-0.184741
-1.62774,0.728542,-0.166324
-1.63799,0.651017,-0.194342
-1.60361,0.81875,-0.145645
-1.66752,0.864034,-0.137358
-1.68617,0.737539,-0.163802
-1.67848,0.650267,-0.190198
-1.68054,0.553232,-0.205922
-1.63303,0.565046,-0.202563
-1.74257,0.873825,-0.13573
-1.76083,0.76688,-0.169616
-1.72416,0.653437,-0.193274
-1.70582,0.556075,-0.208301
-1.77893,0.762873,-0.200812
-1.75615,0.641112,-0.210131
-1.73851,0.547197,-0.227313
-1.7253,1.00351,-0.234737
0.599024,0.593755,-0.222892
0.623084,0.700529,-0.222191
0.640364,0.711981,-0.186102
0.635325,0.775207,-0.230077
0.650577,0.775987,-0.187614
0.639068,0.90596,-0.23054
0.652962,0.913454,-0.192084
0.645437,0.983635,-0.254811
0.655933,0.991459,-0.20712
0.513895,0.584287,-0.233291
0.501896,0.678087,-0.249147
0.488046,0.571891,-0.221574
0.506136,0.751553,-0.256663
0.474738,0.674653,-0.238157
0.504866,0.88205,-0.271095
0.464202,0.759606,-0.253154
