Points_0,Points_1,Points_2,Points_Magnitude,Point ID
-1.9654,2.60495,2.67551,4.21982,1859
-1.31607,1.8777,3.5419,4.21934,1948
-1.21857,1.92893,3.54705,4.21749,1941
-1.42301,2.39684,3.16305,4.216,1893
-2.119,2.08151,2.99126,4.21551,898
-1.17177,1.92718,3.56045,4.21472,126
-1.54515,2.11571,3.30096,4.21427,1457
-2.08893,1.88818,3.12876,4.20928,2762
-1.14033,1.91524,3.57058,4.20922,127
-1.42899,2.22263,3.27634,4.2091,1899
-1.20819,1.98015,3.51147,4.20846,1945
-1.24689,1.89511,3.54038,4.20482,151
-1.41975,2.31808,3.20786,4.2047,1895
-1.26285,1.9917,3.47973,4.2036,1944
-1.19303,1.94734,3.52815,4.20278,1955
-1.31529,2.12225,3.38064,4.2027,1430
-1.31634,1.89956,3.50928,4.20192,1951
-1.42102,2.2556,3.2457,4.20019,1897
-1.3093,2.0839,3.40292,4.19961,1427
-2.0151,1.85224,3.18482,4.19935,2739
-1.43408,2.53139,3.02771,4.19899,1890
-1.35883,1.98734,3.43853,4.19755,1455
-1.15233,1.94002,3.5378,4.19613,124
-2.01929,2.57328,2.62821,4.19604,1858
-1.21576,1.87722,3.54983,4.19564,130
-1.19652,1.86134,3.56434,4.19533,131
-1.4356,2.03943,3.37282,4.19477,1452
-1.39124,2.0174,3.40142,4.19227,1454
-2.16736,2.01919,2.96597,4.19185,853
-1.78725,1.9662,3.24199,4.19174,2755
-1.60933,2.0568,3.27795,4.1911,2846
-1.27249,2.03378,3.43613,4.19076,1428
-1.09096,1.89863,3.57258,4.19026,128
-2.28348,2.1309,2.78948,4.18763,812
-1.31497,2.16922,3.33081,4.18676,1417
-2.03369,2.56302,2.61006,4.18538,786
-2.05082,2.54466,2.61348,4.18467,785
-1.11452,1.92947,3.53999,4.18289,123
-2.31163,2.24962,2.6623,4.18238,811
-1.17739,1.94627,3.50786,4.18083,1954
-2.24402,2.01514,2.88638,4.17464,838
-1.25022,1.98146,3.45494,4.17443,1933
-2.05625,1.83988,3.1297,4.17233,2763
-2.09947,2.48321,2.61282,4.17144,787
-1.47093,2.0702,3.30778,4.17022,1453
-1.05338,1.91786,3.54872,4.16908,120
-1.46673,2.64444,2.86867,4.16817,1865
-1.32158,1.93923,3.44407,4.16759,1962
-1.34785,2.23619,3.24805,4.16738,1900
-2.11661,1.99692,2.98243,4.16685,2665
-1.20447,1.96387,3.47201,4.16682,1934
-1.92112,1.85743,3.19188,4.16279,2737
-1.35492,2.47177,3.0626,4.16233,1892
-2.09831,1.90766,3.03972,4.15716,2764
-2.01936,1.71362,3.20141,4.15492,329
-2.13352,1.96828,2.9726,4.15481,854
-1.12378,1.94242,3.49616,4.1544,2395
-2.1411,2.43744,2.59427,4.15399,788
-1.30348,1.88295,3.46341,4.15209,1957
-1.01894,1.89707,3.5482,4.15052,121
-1.14111,1.83008,3.54555,4.14997,129
-1.32391,2.42113,3.09798,4.14874,1894
-1.36039,2.00858,3.36526,4.14849,1456
-1.25065,2.02024,3.40012,4.14805,1429
-2.20791,2.37472,2.58653,4.1478,789
-2.29441,2.18565,2.67292,4.14559,813
-1.28163,2.06988,3.35413,4.14453,1431
-1.33095,1.97634,3.39002,4.14362,1928
-1.30804,1.92992,3.4251,4.14329,1961
-1.28222,2.10302,3.32934,4.14141,1432
-1.31524,2.33693,3.15582,4.14129,1896
-2.06045,1.67352,3.17765,4.14048,328
-1.32831,2.27031,3.1975,4.14038,1898
-1.42145,2.59118,2.8958,4.13767,1866
-1.25208,1.85983,3.47738,4.13749,132
-1.22214,1.97696,3.41806,4.13341,1932
-1.16151,1.93075,3.46349,4.1319,1952
-1.28807,2.14545,3.28643,4.1307,1415
-1.39112,2.02027,3.32262,4.12996,1450
-1.07704,1.92543,3.49109,4.12977,117
-1.48507,2.07369,3.24749,4.12939,1458
-2.20828,1.9478,2.89475,4.12916,839
-1.39511,2.55665,2.92413,4.12714,1867
-2.00107,1.62746,3.21886,4.1248,369
-2.2524,2.0215,2.79853,4.12208,814
-1.29722,2.22255,3.21732,4.11991,1420
-1.5065,2.69224,2.72811,4.11829,1848
-1.62146,2.68886,2.6645,4.11809,1847
-1.23698,1.81401,3.48141,4.11594,133
-1.73042,1.92619,3.19815,4.11494,2756
-2.02465,1.60197,3.20114,4.11252,346
-1.21528,1.79049,3.49655,4.11201,134
-1.9863,1.77542,3.13146,4.11139,330
-1.25771,1.99999,3.36334,4.11021,1441
-1.29034,1.98318,3.36014,4.10956,1447
-1.27119,1.89344,3.41864,4.10952,1958
-1.96762,1.64369,3.21116,4.10911,366
-2.25461,2.28595,2.56348,4.10856,790
-1.17035,1.94971,3.4204,4.10734,1936
-1.27753,2.0459,3.32349,4.1065,1442
-1.25603,1.93635,3.39635,4.10637,1963
-1.23438,1.95082,3.39212,4.10315,1935
-2.05898,1.84064,3.03445,4.10308,2765
-1.31123,2.0134,3.324,4.10147,1446
-1.41007,2.03791,3.26568,4.09951,1451
-1.95641,1.70471,3.17229,4.09841,365
-1.35378,2.02195,3.29582,4.09676,1448
-1.9631,1.56391,3.23257,4.09256,370
-1.88048,1.81058,3.15115,4.09196,2736
-0.99417,1.91322,3.4772,4.09142,119
-1.54104,2.00965,3.21297,4.09105,2847
-2.26142,2.08497,2.69686,4.09074,815
-1.28433,2.07255,3.28433,4.09046,1443
-1.72208,2.64398,2.60124,4.08933,1846
-1.23708,1.90756,3.39832,4.08873,1956
-1.99903,1.77658,3.08672,4.08414,331
-2.04625,1.71259,3.09167,4.08393,333
-1.23169,1.86029,3.41974,4.08318,1959
-1.07475,1.92248,3.43493,4.08041,2394
-1.32859,2.52407,2.91686,4.07972,1868
-2.2344,1.95814,2.79439,4.07866,816
-1.18942,1.76175,3.47928,4.07724,136
-1.32159,2.0309,3.27717,4.07566,1445
-1.98746,1.54665,3.20428,4.07547,345
-2.16283,1.8719,2.90218,4.07486,840
-1.08671,1.80374,3.48663,4.07321,135
-2.07028,1.86768,2.9688,4.07285,855
-1.28197,2.10786,3.24015,4.07248,1413
-1.26731,2.19819,3.18494,4.0721,1418
-1.18883,1.9152,3.39039,4.07137,1943
-1.13057,1.91238,3.40982,4.06968,1953
-1.942,1.75534,3.11537,4.06917,2371
-2.04421,1.69111,3.0838,4.06798,372
-1.94075,1.50852,3.23982,4.06676,371
-2.03689,1.62673,3.12042,4.06598,343
-1.43221,2.04843,3.20657,4.06563,2370
-2.04394,1.72943,3.05681,4.06358,332
-1.38403,2.63871,2.76109,4.06227,1849
-1.05175,1.90552,3.42864,4.06113,116
-1.79114,2.59828,2.55535,4.06067,1845
-1.93198,1.57048,3.20481,4.0583,367
-1.35864,2.0361,3.23608,4.05756,1449
-2.02147,1.79018,3.02746,4.05667,2372
-1.26886,2.47417,2.95216,4.05546,1869
-2.26529,2.1986,2.54459,4.05466,791
-1.18849,1.87101,3.39252,4.05245,1960
-1.94825,1.4904,3.22311,4.05036,344
-2.04579,1.81612,2.98155,4.04639,893
-2.0595,1.75047,3.00978,4.0453,843
-1.92099,1.43584,3.25571,4.0437,880
-1.20488,1.80425,3.41204,4.0434,145
-2.00933,1.56577,3.13983,4.04321,342
-1.15468,1.88635,3.3834,4.04215,1942
-1.89985,1.39365,3.28114,4.03951,881
-1.87801,1.37675,3.30054,4.0393,876
-1.30824,2.0605,3.21777,4.03871,1444
-1.84852,2.55663,2.52132,4.03862,1844
-1.34901,2.60595,2.77337,4.03762,1850
-0.932957,1.8743,3.44936,4.03504,122
-1.08367,1.89135,3.39324,4.03307,2396
-2.1281,1.80788,2.90995,4.033,841
-1.67264,1.89036,3.14417,4.032,2757
-1.90683,1.51481,3.21318,4.03177,368
-1.88732,1.46472,3.24539,4.02988,879
-1.22942,2.42142,2.9763,4.02904,1870
-1.83589,1.40567,3.29881,4.02846,877
-2.08226,1.76899,2.96004,4.02828,842
-1.23729,2.26247,3.09461,4.02818,1872
-1.94716,1.40962,3.23117,4.02727,860
-1.33301,2.58708,2.78112,4.02548,1851
-1.29442,2.09495,3.17987,4.02192,1410
-2.23092,1.98371,2.69503,4.02185,817
-1.90477,1.61338,3.15341,4.02183,361
-1.92825,1.33004,3.26802,4.02083,871
-1.24609,2.17386,3.14258,4.01923,1416
-1.05791,1.87481,3.39407,4.01918,141
-2.20498,1.89381,2.77528,4.01878,818
-0.98992,1.88349,3.40827,4.01793,115
-1.17392,1.77329,3.40877,4.01775,146
-1.97046,1.51853,3.1531,4.0163,341
