Points_0,Points_1,Points_2
0.114258,0.127859,-0.0446658
0.113276,0.127709,-0.0446908
0.112509,0.127326,-0.044654
0.112139,0.127043,-0.0446225
0.111431,0.126308,-0.0445223
0.111026,0.125873,-0.0444662
0.110462,0.125099,-0.0443513
0.110093,0.12413,-0.0441964
0.109993,0.1232,-0.0440361
0.11028,0.122148,-0.0438389
0.110856,0.121025,-0.0436181
0.111446,0.120181,-0.0434297
0.112082,0.119438,-0.0432554
0.112845,0.118825,-0.0431123
0.113332,0.118513,-0.043031
0.114213,0.118076,-0.0429124
0.114668,0.117911,-0.0428666
0.115687,0.117842,-0.0428045
0.116701,0.118067,-0.0427977
0.117691,0.118476,-0.0428202
0.118077,0.118689,-0.0428469
0.11867,0.119427,-0.0429452
0.118828,0.120433,-0.0424034
0.118889,0.121425,-0.0425762
0.11879,0.122492,-0.0427726
0.118654,0.123387,-0.0429393
0.118579,0.124389,-0.0431252
0.11849,0.125367,-0.0433016
0.118337,0.125875,-0.0433984
0.118176,0.126216,-0.0434649
0.117605,0.126999,-0.0436295
0.116877,0.1276,-0.0437691
0.115969,0.128079,-0.0439074
0.114996,0.128304,-0.0439963
0.114218,0.128301,-0.044029
0.113238,0.128164,-0.0440471
0.112386,0.1278,-0.044025
0.111912,0.127448,-0.0439986
0.111203,0.126714,-0.0439006
0.110743,0.126234,-0.0438368
0.110167,0.125415,-0.0437185
0.10999,0.125091,-0.0436661
0.109731,0.124371,-0.0435368
0.109686,0.123393,-0.0433657
0.10997,0.122309,-0.0431792
0.110566,0.121175,-0.0429497
0.111259,0.120244,-0.0427479
0.111921,0.119456,-0.0425505
0.112674,0.118793,-0.042406
0.113192,0.118461,-0.042318
0.114082,0.11807,-0.0422072
0.114666,0.11793,-0.0421557
0.115663,0.117954,-0.0421119
0.116711,0.118204,-0.0421052
0.117621,0.118649,-0.0421462
0.11795,0.118858,-0.0421704
0.118561,0.119601,-0.0422728
0.117865,0.119007,-0.0414865
0.118294,0.119492,-0.0415505
0.118423,0.119773,-0.0415921
0.118705,0.120745,-0.0417529
0.118758,0.121565,-0.0418937
0.118665,0.122623,-0.0420863
0.118585,0.123076,-0.0421746
0.118509,0.124048,-0.0423543
0.118513,0.124512,-0.0424383
0.11843,0.12547,-0.0426179
0.118344,0.12603,-0.042715
0.118209,0.126411,-0.0427878
0.117641,0.12719,-0.0429546
0.116925,0.127849,-0.0431019
0.116104,0.128368,-0.0432348
0.115168,0.128659,-0.0433337
0.114029,0.128727,-0.0433994
0.113182,0.128627,-0.0434381
0.112256,0.128273,-0.0434054
0.111414,0.127558,-0.0433281
0.111151,0.127295,-0.0432939
0.110463,0.12657,-0.0432088
0.109871,0.125782,-0.0430875
0.109447,0.124535,-0.0428796
0.109421,0.123555,-0.0427045
0.109717,0.12248,-0.04251
0.110302,0.121331,-0.0422699
0.110466,0.121057,-0.042206
0.111076,0.120259,-0.0420393
0.1117,0.119472,-0.0418546
0.112545,0.118814,-0.0417053
0.113087,0.118462,-0.0416159
0.113969,0.118092,-0.0415041
0.114632,0.117993,-0.0414557
0.115622,0.118077,-0.0414249
0.116672,0.118345,-0.0414222
0.117581,0.118826,-0.0414697
0.0796759,0.117277,-0.0430459
0.118517,0.120593,-0.04102
0.118586,0.120953,-0.0410788
0.118583,0.122161,-0.0412944
0.118526,0.122774,-0.0414091
0.118472,0.12319,-0.0414878
0.118428,0.124172,-0.041667
0.118426,0.124631,-0.0417553
0.11842,0.125077,-0.0418364
0.118312,0.126174,-0.0420345
0.118208,0.12655,-0.042105
0.117686,0.127402,-0.0422769
0.116992,0.128097,-0.0424398
0.116181,0.128637,-0.042574
0.115226,0.128988,-0.0426875
0.114134,0.129117,-0.0427579
0.113141,0.12904,-0.0427992
0.11218,0.128742,-0.04279
0.111288,0.128019,-0.0427041
0.110775,0.127508,-0.042646
0.11021,0.126892,-0.0425642
0.109625,0.126094,-0.042446
0.1094,0.125608,-0.0423617
0.109173,0.124706,-0.0422081
0.109168,0.123703,-0.0420473
0.109449,0.122676,-0.0418508
0.109808,0.121968,-0.0417158
0.110344,0.121109,-0.0415178
0.11093,0.120322,-0.0413508
0.111577,0.119532,-0.0411728
0.112399,0.118844,-0.0410029
0.112988,0.118467,-0.0409062
0.113909,0.118128,-0.0408055
0.114593,0.118061,-0.0407599
0.115609,0.11819,-0.0407359
0.116568,0.118508,-0.0407437
0.117523,0.119026,-0.040798
0.0800894,0.119499,-0.0427243
0.079803,0.118532,-0.0425595
0.0797266,0.117953,-0.042453
0.0796927,0.117403,-0.0423551
0.118409,0.120709,-0.0403323
0.118491,0.121085,-0.0403955
0.118515,0.122229,-0.0406018
0.118427,0.122894,-0.0407248
0.11825,0.123937,-0.0409211
0.11827,0.124268,-0.0409808
0.118354,0.125266,-0.041161
0.118276,0.126301,-0.0413469
0.118179,0.126706,-0.0414244
0.117713,0.127599,-0.0416053
0.117019,0.128289,-0.0417635
0.116236,0.128864,-0.0418986
0.115283,0.129283,-0.0420249
0.114276,0.129472,-0.0421098
0.113094,0.129437,-0.0421658
0.112149,0.129155,-0.0421437
0.111322,0.128569,-0.0420886
0.110582,0.127868,-0.0420057
0.109949,0.127212,-0.0419236
0.109391,0.126414,-0.0418105
0.10914,0.125841,-0.0417098
0.108914,0.124909,-0.0415407
0.108973,0.123888,-0.0413651
0.109311,0.122831,-0.0411925
0.109673,0.122032,-0.0410068
0.110219,0.121168,-0.0408309
0.110792,0.120375,-0.0406561
0.111454,0.119577,-0.0404732
0.112102,0.118993,-0.0403315
0.112913,0.118504,-0.0402105
0.113836,0.118193,-0.0401125
0.114567,0.118159,-0.0400688
0.115538,0.118331,-0.0400473
0.116483,0.118708,-0.040071
0.117441,0.119204,-0.0401182
0.118047,0.119886,-0.040208
0.0800981,0.119608,-0.0420338
0.0798339,0.118636,-0.0418693
0.079752,0.118062,-0.0417639
0.0797254,0.117532,-0.0416672
0.0797701,0.116552,-0.0414781
0.0799242,0.115714,-0.0413007
0.118257,0.120643,-0.0396171
0.118367,0.121228,-0.0397162
0.118409,0.122318,-0.0399143
0.118325,0.123004,-0.0400389
0.118142,0.124045,-0.040235
0.11815,0.124391,-0.0402998
0.118249,0.125392,-0.04048
0.118244,0.125839,-0.0405593
0.11821,0.126397,-0.0406591
0.117919,0.127362,-0.0408431
0.11771,0.127754,-0.0409235
0.117057,0.128495,-0.041085
0.116268,0.129064,-0.0412254
0.115324,0.129559,-0.0413628
0.114067,0.12981,-0.0414725
0.113044,0.129769,-0.0415122
0.112069,0.129528,-0.0415075
0.111028,0.128844,-0.0414505
0.110394,0.128224,-0.0413758
0.109721,0.127504,-0.0412737
0.10916,0.126702,-0.041159
0.108872,0.126067,-0.0410539
0.108677,0.125061,-0.0408838
0.108786,0.124014,-0.0406945
0.109138,0.122941,-0.0404739
0.10963,0.1219,-0.0402738
0.109946,0.121415,-0.0401727
0.11063,0.120422,-0.0399523
0.11131,0.119671,-0.0397839
0.11223,0.118943,-0.0396104
0.112859,0.11859,-0.0395184
0.113786,0.118281,-0.0394165
0.114588,0.118312,-0.0393817
0.1155,0.118507,-0.0393734
0.116437,0.118872,-0.0393914
